ticker,name,provider,asset_class,mer,distribution_yield,risk_rating,currency,tracking_index,inception_date,aum_millions,management_fee,perf_1y,perf_3y,perf_5y,perf_since_inception,sector_1_label,sector_1_weight,sector_2_label,sector_2_weight,sector_3_label,sector_3_weight,holding_1_label,holding_1_weight,holding_2_label,holding_2_weight,holding_3_label,holding_3_weight,holding_4_label,holding_4_weight,holding_5_label,holding_5_weight
XFR,iShares Floating Rate Index ETF,iShares,Equity,0.25,2.97,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
TQSM,TD Q U.S. Small-Mid-Cap Equity ETF,TD,Equity,0.25,0.86,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
SVR,iShares Silver Bullion ETF,iShares,Equity,0.25,0.0,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
VVL,Vanguard Global Value Factor ETF,Vanguard,Equity,0.25,1.79,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
FGO,CI Enhanced Government Bond ETF,CI,Fixed Income,0.25,2.76,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
TXF,CI Tech Giants Covered Call ETF,CI,Equity,0.25,11.2,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
CGBI,CIBC Global Bond ex-Canada Index ETF (CAD-Hedged),CIBC,Fixed Income,0.25,2.69,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
QMAX,Hamilton Technology Yield Maximizer ETF,Hamilton,Equity,0.25,12.58,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
ZFS,BMO Short Federal Bond Index ETF,BMO,Fixed Income,0.25,2.45,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
DMEE,Desjardins Emerging Markets Equity Index ETF,Desjardins,Equity,0.25,1.44,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
ZBK,BMO Equal Weight US Banks Index ETF,BMO,Equity,0.25,1.85,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
VXM,CI Morningstar International Value Index ETF,CI,Equity,0.25,1.82,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
HTA,Harvest Tech Achievers Growth & Income ETF,Harvest,Equity,0.25,9.73,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
CQLC,CIBC Qx Canadian Low Volatility Dividend ETF,CIBC,Equity,0.25,2.7,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
RQQ,RBC Target 2028 Canadian Corporate Bond Index ETF,RBC,Fixed Income,0.25,4.05,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
XDG,iShares Core MSCI Global Quality Dividend Index ETF,iShares,Equity,0.25,2.78,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
XSUS,iShares ESG Aware MSCI USA Index ETF,iShares,Equity,0.25,0.84,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
TCSB,TD Select Short Term Corporate Bond Ladder ETF,TD,Fixed Income,0.25,3.65,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
CLF,iShares 1-5 Year Laddered Government Bond Index ETF,iShares,Fixed Income,0.25,2.22,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
XIT,iShares S&P/TSX Capped Information Technology Index ETF,iShares,Equity,0.25,0.0,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
CCEI,CIBC MSCI Canada Equity Index ETF,CIBC,Equity,0.25,2.08,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
QQQX,Global X NASDAQ-100 Index ETF,Global X,Equity,0.25,0.36,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
TQGD,TD Q Global Dividend ETF,TD,Equity,0.25,2.79,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
QUIG,Mackenzie US Investment Grade Corporate Bond Index ETF (CAD-Hedged),Mackenzie,Fixed Income,0.25,3.95,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
XMC,iShares S&P U.S. Mid-Cap Index ETF,iShares,Equity,0.25,1.03,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
RQO,RBC Target 2026 Canadian Corporate Bond Index ETF,RBC,Fixed Income,0.25,2.67,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
ZGRO,BMO Growth ETF Portfolio,BMO,Multi-Asset,0.25,1.66,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
RPF,RBC Canadian Preferred Share ETF,RBC,Fixed Income,0.25,5.06,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
AMAX,Hamilton Gold Producer Yield Maximizer ETF,Hamilton,Equity,0.25,6.53,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
DXP,Dynamic Active Preferred Shares ETF,Dynamic,Fixed Income,0.25,4.49,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
ZJPN,BMO Japan Index ETF,BMO,Equity,0.25,1.3,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
CQLI,CIBC Qx International Low Volatility Dividend ETF,CIBC,Equity,0.25,3.16,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
XEU,iShares MSCI Europe IMI Index ETF,iShares,Equity,0.25,2.42,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
TUED,TD Active U.S. Enhanced Dividend ETF,TD,Equity,0.25,2.73,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
UBIL.U,Global X 0-3 Month U.S. T-Bill ETF,Global X,Fixed Income,0.25,4.01,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
XESG,iShares ESG Aware MSCI Canada Index ETF,iShares,Equity,0.25,2.0,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
SPLT,Brompton Split Corp. Preferred Share ETF,Brompton,Fixed Income,0.25,6.09,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
VE,Vanguard FTSE Developed Europe All Cap Index ETF,Vanguard,Equity,0.25,2.53,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
KILO,Purpose Gold Bullion Fund,Purpose,Equity,0.25,0.0,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
ZRE,BMO Equal Weight REITs Index ETF,BMO,Equity,0.25,4.65,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
CNDX,Global X S&P/TSX 60 Index ETF,Global X,Equity,0.25,2.35,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
BTCC,Purpose Bitcoin ETF,Purpose,Equity,0.25,0.0,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
DXQ,Dynamic Active Enhanced Yield Covered Options ETF,Dynamic,Equity,0.25,7.75,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
TERM,Manulife Smart Short-Term Bond ETF,Manulife,Fixed Income,0.25,3.62,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
QQCC,Global X Nasdaq-100 Covered Call ETF,Global X,Equity,0.25,11.77,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
MEME.B,Manulife Multifactor Emerging Markets Index ETF,Manulife,Equity,0.25,1.8,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
ZEQT,BMO All-Equity ETF,BMO,Equity,0.25,1.41,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
SITC,Scotia Canadian Large Cap Equity Index Tracker ETF,Scotia,Equity,0.25,1.68,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
XIGS,iShares 1-5 Year U.S. IG Corporate Bond Index ETF (CAD-Hedged),iShares,Fixed Income,0.25,4.22,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
PFMN,PICTON Market Neutral Equity Alternative Fund,PICTON,Equity,0.25,0.79,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
XBM,iShares S&P/TSX Global Base Metals Index ETF,iShares,Equity,0.25,0.67,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
HULC,Global X US Large Cap Index Corporate Class ETF,Global X,Equity,0.25,0.0,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
CFRN,CIBC Active Investment Grade Floating Rate Bond ETF,CIBC,Fixed Income,0.25,3.32,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
HULC.U,Global X US Large Cap Index Corporate Class ETF,Global X,Equity,0.25,0.0,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
VGAB,Vanguard Global Aggregate Bond Index ETF (CAD-hedged),Vanguard,Fixed Income,0.25,3.47,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
XHC,iShares Global Healthcare Index ETF (CAD-Hedged),iShares,Equity,0.25,1.83,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
PSB,Invesco 1-5 Year Laddered Investment Grade Corporate Bond Index ETF,Invesco,Fixed Income,0.25,3.17,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
CBH,iShares 1-10 Year Laddered Corporate Bond Index ETF,iShares,Fixed Income,0.25,3.31,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
HFR,Global X Active Ultra-Short Term Investment Grade Bond ETF,Global X,Fixed Income,0.25,3.71,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
ESG,Invesco S&P 500 ESG Index ETF,Invesco,Equity,0.25,0.85,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
XGGB,iShares Global Government Bond Index ETF (CAD-Hedged),iShares,Fixed Income,0.25,2.69,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
QCB,Mackenzie Canadian All Corporate Bond Index ETF,Mackenzie,Fixed Income,0.25,4.05,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
MCLC,Manulife Multifactor Canadian Large Cap Index ETF,Manulife,Equity,0.25,1.89,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
HAZ,Global X Active Global Dividend ETF,Global X,Equity,0.25,1.42,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
FLUR,Franklin International Equity Index ETF,Franklin,Equity,0.25,2.23,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
ZST.L,BMO Ultra Short-Term Bond Fund,BMO,Fixed Income,0.25,0.0,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
USCC,Global X S&P 500 Covered Call ETF,Global X,Equity,0.25,10.24,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
XQB,iShares Core High Quality Canadian Bond Index ETF,iShares,Fixed Income,0.25,3.37,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
HBF,Harvest Brand Leaders Plus Income ETF,Harvest,Equity,0.25,7.65,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
VXM.B,CI Morningstar International Value Index ETF,CI,Equity,0.25,2.04,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
ZBAL,BMO Balanced ETF,BMO,Multi-Asset,0.25,1.95,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
ZGI,BMO Global Infrastructure Index ETF,BMO,Equity,0.25,2.37,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
HUTL,Harvest Equal Weight Global Utilities Income ETF,Harvest,Equity,0.25,7.31,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
GDXU,BetaPro Canadian Gold Miners 2x Daily Bull ETF,BetaPro,Equity,0.25,0.0,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
FXM,CI Morningstar Canada Value Index ETF,CI,Equity,0.25,1.71,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
RQR,RBC Target 2029 Canadian Corporate Bond Index ETF,RBC,Fixed Income,0.25,4.0,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
XMH,iShares S&P U.S. Mid-Cap Index ETF (CAD-Hedged),iShares,Equity,0.25,1.03,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
HDIF,Harvest Diversified Monthly Income ETF,Harvest,Equity,0.25,10.48,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
RING,Global X Equal Weight Canadian Telecommunications Index ETF,Global X,Equity,0.25,5.73,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
TUHY,TD Active U.S. High Yield Bond ETF,TD,Fixed Income,0.25,5.96,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
XUH,iShares Core S&P U.S. Total Market Index ETF (CAD-Hedged),iShares,Equity,0.25,0.91,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
XFLI,iShares Flexible Monthly Income ETF,iShares,Equity,0.25,5.64,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
XCSR,iShares ESG Advanced MSCI Canada Index ETF,iShares,Equity,0.25,1.69,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
WSHR,Wealthsimple Shariah World Equity Index ETF,Wealthsimple,Equity,0.25,1.28,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
ZLC,BMO Long Corporate Bond Index ETF,BMO,Fixed Income,0.25,4.65,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
CIEI,CIBC MSCI EAFE Equity Index ETF,CIBC,Equity,0.25,2.26,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
PFIA,PICTON Long Short Income Alternative Fund,PICTON,Equity,0.25,4.06,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
DGR.B,CI U.S. Quality Dividend Growth Index ETF,CI,Equity,0.25,1.23,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
EMAX,Hamilton Energy Yield Maximizer ETF,Hamilton,Equity,0.25,11.21,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
ZMBS,BMO Canadian MBS Index ETF,BMO,Equity,0.25,2.31,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
CINF,CI Global Infrastructure Private Pool,CI,Equity,0.25,2.5,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
ZGD,BMO Equal Weight Global Gold Index ETF,BMO,Equity,0.25,0.17,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
FLAM,Franklin FTSE U.S. Index ETF,Franklin,Equity,0.25,1.01,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
MCSM,Manulife Multifactor Canadian SMID Cap Index ETF,Manulife,Equity,0.25,1.35,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
RIT,CI Canadian REIT ETF,CI,Equity,0.25,4.62,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
XUS.U,iShares Core S&P 500 Index ETF,iShares,Equity,0.25,1.26,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
RPLS,RBC Core Plus Bond Pool,RBC,Fixed Income,0.25,0.0,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
XSPC,iShares S&P 500 3% Capped Index ETF (CAD-Hedged),iShares,Equity,0.25,0.89,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
TPRF,TD Active Preferred Share ETF,TD,Fixed Income,0.25,4.45,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
XUSR,iShares ESG Advanced MSCI USA Index ETF,iShares,Equity,0.25,0.66,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
ZDJ,BMO Dow Jones Industrial Average Hedged to CAD Index ETF,BMO,Equity,0.25,1.05,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
FCSW,Fidelity Sustainable World ETF,Fidelity,Equity,0.25,0.69,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
NGPE,NBI Global Private Equity ETF,NBI,Equity,0.25,1.87,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
RBNK,RBC Canadian Bank Yield Index ETF,RBC,Equity,0.25,3.26,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
MWLV,Mackenzie GQE World Low Volatility ETF,Mackenzie,Equity,0.25,1.4,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
QQU,BetaPro NASDAQ-100 2x Daily Bull ETF,BetaPro,Equity,0.25,0.0,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
XAGH,iShares U.S. Aggregate Bond Index ETF (CAD-Hedged),iShares,Fixed Income,0.25,3.82,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
HPYT,Harvest Premium Yield Treasury ETF,Harvest,Equity,0.25,17.9,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
FLGA,Franklin Global Core Bond Fund,Franklin,Fixed Income,0.25,2.63,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
UCSH.U,Global X USD High Interest Savings ETF,Global X,Fixed Income,0.25,4.01,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
RID,RBC Quant EAFE Dividend Leaders ETF,RBC,Equity,0.25,2.89,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
QBTL,AGF US Market Neutral Anti-Beta CAD-Hedged ETF,AGF,Equity,0.25,0.0,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
CIC,CI Canadian Banks Covered Call Income Class ETF,CI,Equity,0.25,5.53,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
ZPS,BMO Short Provincial Bond Index ETF,BMO,Fixed Income,0.25,2.81,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
ZUB,BMO Equal Weight US Banks Hedged to CAD Index ETF,BMO,Equity,0.25,1.98,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
XMV,iShares MSCI Min Vol Canada Index ETF,iShares,Equity,0.25,2.1,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
PYF,Purpose Premium Yield Fund,Purpose,Equity,0.25,7.72,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
ZPAY,BMO Premium Yield Fund,BMO,Equity,0.25,7.56,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
QTIP,Mackenzie US TIPS Index ETF (CAD-Hedged),Mackenzie,Equity,0.25,4.49,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
MGDV,Mackenzie Global Dividend ETF,Mackenzie,Equity,0.25,0.87,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
XST,iShares S&P/TSX Capped Consumer Staples Index ETF,iShares,Equity,0.25,0.64,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
XMU,iShares MSCI Min Vol USA Index ETF,iShares,Equity,0.25,1.07,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
RCD,RBC Quant Canadian Dividend Leaders ETF,RBC,Equity,0.25,2.92,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
DXC,Dynamic Active Canadian Dividend ETF,Dynamic,Equity,0.25,2.25,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
KILO.B,Purpose Gold Bullion Fund,Purpose,Equity,0.25,0.0,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
XTR,iShares Diversified Monthly Income ETF,iShares,Equity,0.25,3.95,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
VMO,Vanguard Global Momentum Factor ETF,Vanguard,Equity,0.25,0.8,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
RUDB,RBC U.S. Discount Bond ETF,RBC,Fixed Income,0.25,1.61,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
CMVP,Hamilton Champions Canadian Dividend Index ETF,Hamilton,Equity,0.25,2.67,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
YTSL,Tesla (TSLA) Yield Shares Purpose ETF,Purpose,Equity,0.25,42.61,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
XCNS,iShares Core Conservative Balanced ETF Portfolio,iShares,Multi-Asset,0.25,2.47,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
BTCC.U,Purpose Bitcoin ETF,Purpose,Equity,0.25,0.0,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
CGIN,CI Global Investment Grade ETF,CI,Equity,0.25,4.79,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
ETHX.B,CI Galaxy Ethereum ETF,CI,Equity,0.25,0.0,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
PFAA,PICTON Multi-Strategy Alpha Alternative Fund,PICTON,Equity,0.25,1.64,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
MGQE,Mackenzie GQE Global Equity ETF,Mackenzie,Equity,0.25,0.35,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
ZEQ,BMO MSCI Europe High Quality Hedged to CAD Index ETF,BMO,Equity,0.25,3.02,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
IGB,Purpose Global Bond Class,Purpose,Fixed Income,0.25,5.04,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
FCCD,Fidelity Canadian High Dividend ETF,Fidelity,Equity,0.25,3.2,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
HFIN,Hamilton Enhanced Canadian Financials ETF,Hamilton,Equity,0.25,3.59,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
RQS,RBC Target 2030 Canadian Corporate Bond Index ETF,RBC,Fixed Income,0.25,3.75,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
XFLX,iShares Flexible Monthly Income ETF (CAD-Hedged),iShares,Equity,0.25,5.58,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
TGFI,TD Active Global Income ETF,TD,Equity,0.25,5.23,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
TCLB,TD Canadian Long Term Federal Bond ETF,TD,Fixed Income,0.25,3.15,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
FCSB,Fidelity Canadian Short Term Corporate Bond ETF,Fidelity,Fixed Income,0.25,3.71,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
ZPL,BMO Long Provincial Bond Index ETF,BMO,Fixed Income,0.25,3.69,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
TINF,TD Active Global Infrastructure Equity ETF,TD,Equity,0.25,2.64,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
XUT,iShares S&P/TSX Capped Utilities Index ETF,iShares,Equity,0.25,3.46,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
CRED,CI Alternative Investment Grade Credit Fund,CI,Equity,0.25,2.96,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
DXV,Dynamic Active Ultra Short Term Bond ETF,Dynamic,Fixed Income,0.25,3.23,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
VRIF,Vanguard Retirement Income ETF Portfolio,Vanguard,Multi-Asset,0.25,3.75,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
TGRO,TD Growth ETF Portfolio,TD,Multi-Asset,0.25,1.92,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
XSEA,iShares ESG Aware MSCI EAFE Index ETF,iShares,Equity,0.25,2.26,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
HEQT,Global X All-Equity Asset Allocation ETF,Global X,Equity,0.25,1.71,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
ZWK,BMO Covered Call US Banks ETF,BMO,Equity,0.25,6.62,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
RUSB.U,RBC Short Term U.S. Corporate Bond ETF,RBC,Fixed Income,0.25,3.99,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
XEM,iShares MSCI Emerging Markets Index ETF,iShares,Equity,0.25,1.79,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
CEW,iShares Equal Weight Banc & Lifeco ETF,iShares,Equity,0.25,2.75,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
MFT,Mackenzie Floating Rate Income ETF,Mackenzie,Equity,0.25,8.41,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
BKCC,Global X Equal Weight Canadian Bank Covered Call ETF,Global X,Equity,0.25,10.17,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
NRGY,Global X Equal Weight Canadian Oil & Gas Index ETF,Global X,Equity,0.25,3.36,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
JEPI,JPMorgan US Equity Premium Income Active ETF,JPMorgan,Equity,0.25,7.48,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
HSH,Global X S&P 500 CAD Hedged Index Corporate Class ETF,Global X,Equity,0.25,0.0,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
FHIS,Franklin Bissett Ultra Short Bond Fund,Franklin,Fixed Income,0.25,3.24,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
QEBH,Mackenzie Emerging Markets Bond Index ETF (CAD-Hedged),Mackenzie,Fixed Income,0.25,4.7,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
ZSU,BMO Short-Term US IG Corporate Bond Hedged to CAD Index ETF,BMO,Fixed Income,0.25,3.95,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
NNRG,Ninepoint Energy Fund,Ninepoint,Equity,0.25,0.64,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
XDSR,iShares ESG Advanced MSCI EAFE Index ETF,iShares,Equity,0.25,1.73,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
MSTE,Harvest Strategy Inc. Enhanced High Income Shares ETF,Harvest,Equity,0.25,100.0,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
ZMID,BMO S&P US Mid Cap Index ETF,BMO,Equity,0.25,0.98,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
UTES,Evolve Canadian Utilities Enhanced Yield Index Fund,Evolve,Equity,0.25,17.05,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
ENCL,Global X Enhanced Canadian Oil And Gas Equity Covered Call ETF,Global X,Equity,0.25,14.76,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
VALT.U,CI Gold Bullion Fund,CI,Equity,0.25,0.0,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
CWW,iShares Global Water Index ETF,iShares,Equity,0.25,1.27,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
CMGG,CI Munro Global Growth Equity Fund,CI,Equity,0.25,0.0,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
QQCL,Global X Enhanced Nasdaq-100 Covered Call ETF,Global X,Equity,0.25,15.24,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
DRFC,Desjardins RI Canada Multifactor - Net-Zero Emissions Pathway ETF,Desjardins,Equity,0.25,1.45,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
DMID,Desjardins American Mid Cap Equity Index ETF,Desjardins,Equity,0.25,0.23,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
VLB,Vanguard Canadian Long-Term Bond Index ETF,Vanguard,Fixed Income,0.25,3.85,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
RQT,RBC Target 2031 Canadian Corporate Bond ETF,RBC,Fixed Income,0.25,2.97,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
WSGB,Wealthsimple North American Green Bond Index ETF (CAD-Hedged),Wealthsimple,Fixed Income,0.25,3.29,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
XTLH,iShares 20+ Year U.S. Treasury Bond Index ETF (CAD-Hedged),iShares,Fixed Income,0.25,4.34,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
DRFE,Desjardins RI Emerging Markets Multifactor - Net-Zero Emissions Pathway ETF,Desjardins,Equity,0.25,1.86,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
