ticker,name,provider,asset_class,mer,distribution_yield,risk_rating,currency,tracking_index,inception_date,aum_millions,management_fee,perf_1y,perf_3y,perf_5y,perf_since_inception,sector_1_label,sector_1_weight,sector_2_label,sector_2_weight,sector_3_label,sector_3_weight,holding_1_label,holding_1_weight,holding_2_label,holding_2_weight,holding_3_label,holding_3_weight,holding_4_label,holding_4_weight,holding_5_label,holding_5_weight
VBU,Vanguard U.S. Aggregate Bond Index ETF (CAD-hedged),Vanguard,Fixed Income,0.25,0.0,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
ZDM,BMO MSCI EAFE Hedged to CAD Index ETF,BMO,Equity,0.25,2.02,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
FINN,Fidelity Global Innovators ETF,Fidelity,Equity,0.25,0.0,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
VIDY,Vanguard FTSE Developed ex North America High Dividend Yield Index ETF,Vanguard,Equity,0.25,2.61,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
DMEC,Desjardins Canadian Equity Index ETF,Desjardins,Equity,0.25,1.66,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
FCUL,Fidelity U.S. Low Volatility ETF,Fidelity,Equity,0.25,1.18,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
MNY,Purpose Cash Management Fund,Purpose,Fixed Income,0.25,2.74,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
FCMO,Fidelity U.S. Momentum ETF,Fidelity,Equity,0.25,0.36,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
ZJK,BMO High Yield US Corporate Bond Index ETF,BMO,Fixed Income,0.25,6.14,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
HHL,Harvest Healthcare Leaders Income ETF,Harvest,Equity,0.25,9.6,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
ZDV,BMO Canadian Dividend ETF,BMO,Equity,0.25,2.8,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
EQL,Invesco S&P 500 Equal Weight Index ETF,Invesco,Equity,0.25,1.32,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
FCGB,Fidelity Global Core Plus Bond ETF,Fidelity,Fixed Income,0.25,4.36,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
FCIQ,Fidelity International High Quality ETF,Fidelity,Equity,0.25,1.5,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
TGED,TD Active Global Enhanced Dividend ETF,TD,Equity,0.25,3.69,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
WXM,CI Morningstar Canada Momentum Index ETF,CI,Equity,0.25,1.12,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
VSB,Vanguard Canadian Short-Term Bond Index ETF,Vanguard,Fixed Income,0.25,2.99,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
ZPR,BMO Laddered Preferred Share Index ETF,BMO,Fixed Income,0.25,4.98,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
QDX,Mackenzie International Equity Index ETF,Mackenzie,Equity,0.25,2.41,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
XWD,iShares MSCI World Index ETF,iShares,Equity,0.25,1.32,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
ZHY,BMO High Yield US Corporate Bond Hedged to CAD Index Fund,BMO,Fixed Income,0.25,6.22,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
NREA,NBI Global Real Assets Income Fund,NBI,Equity,0.25,0.91,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
ZGB,BMO Government Bond Index ETF,BMO,Fixed Income,0.25,3.01,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
FCIM,Fidelity International Momentum ETF,Fidelity,Equity,0.25,1.41,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
NHYB,NBI High Yield Bond ETF,NBI,Fixed Income,0.25,5.45,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
QQC,Invesco NASDAQ 100 Index ETF,Invesco,Equity,0.25,0.39,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
BND,Purpose Global Bond Fund,Purpose,Fixed Income,0.25,5.75,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
RCDB,RBC Canadian Discount Bond ETF,RBC,Fixed Income,0.25,2.02,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
HDIV,Hamilton Enhanced Canadian Covered Call ETF,Hamilton,Equity,0.25,9.77,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
VSC,Vanguard Canadian Short-Term Corporate Bond Index ETF,Vanguard,Fixed Income,0.25,3.62,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
ZUAG.F,BMO US Aggregate Bond Index ETF,BMO,Fixed Income,0.25,2.59,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
VBG,Vanguard Global ex-U.S. Aggregate Bond Index ETF (CAD-hedged),Vanguard,Fixed Income,0.25,3.45,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
QBB,Mackenzie Canadian Aggregate Bond Index ETF,Mackenzie,Fixed Income,0.25,3.19,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
HXQ,Global X Nasdaq-100 Index Corporate Class ETF,Global X,Equity,0.25,0.0,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
HXQ.U,Global X Nasdaq-100 Index Corporate Class ETF,Global X,Equity,0.25,0.0,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
ZFL,BMO Long Federal Bond Index ETF,BMO,Fixed Income,0.25,2.95,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
ZCM,BMO Mid Corporate Bond Index ETF,BMO,Fixed Income,0.25,4.09,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
VUS,Vanguard U.S. Total Market Index ETF (CAD-Hedged),Vanguard,Equity,0.25,0.84,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
FIE,iShares Canadian Financial Monthly Income ETF,iShares,Equity,0.25,4.84,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
CUEI,CIBC MSCI USA Equity Index ETF,CIBC,Equity,0.25,0.96,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
QQC.F,Invesco NASDAQ 100 Index ETF,Invesco,Equity,0.25,0.4,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
FCGS,Fidelity Global Small Cap Opportunities Fund,Fidelity,Equity,0.25,0.0,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
HISA,High Interest Savings Account Fund,Other,Fixed Income,0.25,2.24,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
HHIS,Harvest Diversified High Income Shares ETF,Harvest,Equity,0.25,29.21,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
CIF,iShares Global Infrastructure Index ETF,iShares,Equity,0.25,1.75,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
MIQE,Mackenzie GQE International Equity ETF,Mackenzie,Equity,0.25,0.89,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
